Species_no,Family_name,Species_name_0,Species_name_1,Space_level,Function_group,Species_code,Clonality,Space_code,Replicates,Root_mass,Shoot_mass,Total_mass,Tmass_per_vol,Rmass_per_vol,RM_ratio,RS_ratio,No_leaf,No_ramet,Stem_length,Aboveground_mass_veg,Flower_mass
1,Compositae,Cichorium,intybus,a,forb,Cic,clonal,H60D15,1,2.99,10.94,13.93,1.313794582,0.281998981,0.214644652,0.273308958,18,,,10.94,
1,Compositae,Cichorium,intybus,a,forb,Cic,clonal,H60D15,2,,,,,,,,,,,,
1,Compositae,Cichorium,intybus,a,forb,Cic,clonal,H60D15,3,2.22,14.39,16.61,1.56655621,0.209377169,0.133654425,0.154273801,30,,,14.39,
1,Compositae,Cichorium,intybus,a,forb,Cic,clonal,H60D15,4,2.29,3.57,5.86,0.552680276,0.215979152,0.390784983,0.641456583,27,,,3.57,
1,Compositae,Cichorium,intybus,a,forb,Cic,clonal,H60D15,5,1.17,8.4,9.57,0.902585366,0.110347427,0.122257053,0.139285714,15,,,8.4,
1,Compositae,Cichorium,intybus,a,forb,Cic,clonal,H60D15,6,1.02,5.11,6.13,0.578145067,0.096200321,0.16639478,0.199608611,16,,,5.11,
1,Compositae,Cichorium,intybus,b,forb,Cic,clonal,H15D30,1,,,,,,,,,,,,
1,Compositae,Cichorium,intybus,b,forb,Cic,clonal,H15D30,2,,,,,,,,,,,,
1,Compositae,Cichorium,intybus,b,forb,Cic,clonal,H15D30,3,0.73,3.36,4.09,0.385744425,0.06884925,0.178484108,0.217261905,14,,,3.36,
1,Compositae,Cichorium,intybus,b,forb,Cic,clonal,H15D30,4,0.21,2.89,3.1,0.292373525,0.019805948,0.067741935,0.07266436,10,,,2.89,
1,Compositae,Cichorium,intybus,b,forb,Cic,clonal,H15D30,5,,,,,,,,,,,,
1,Compositae,Cichorium,intybus,b,forb,Cic,clonal,H15D30,6,0.26,1.69,1.95,0.183912379,0.02452165,0.133333333,0.153846154,11,,,1.69,
1,Compositae,Cichorium,intybus,c,forb,Cic,clonal,H15D15,1,0.12,0.81,0.93,0.35084823,0.045270739,0.129032258,0.148148148,8,,,0.81,
1,Compositae,Cichorium,intybus,c,forb,Cic,clonal,H15D15,2,,,,,,,,,,,,
1,Compositae,Cichorium,intybus,c,forb,Cic,clonal,H15D15,3,,,,,,,,,,,,
1,Compositae,Cichorium,intybus,c,forb,Cic,clonal,H15D15,4,0.06,0.43,0.49,0.184855519,0.02263537,0.12244898,0.139534884,8,,,0.43,
1,Compositae,Cichorium,intybus,c,forb,Cic,clonal,H15D15,5,0.23,2.26,2.49,0.939367842,0.086768917,0.092369478,0.101769912,12,,,2.26,
1,Compositae,Cichorium,intybus,c,forb,Cic,clonal,H15D15,6,,,,,,,,,,,,
2,Compositae,Lactuca,indica,a,forb,Lac,non_clonal,H60D15,1,2.94,28.64,31.58,2.978437394,0.277283279,0.093096897,0.102653631,46,1,158,23.26,5.38
2,Compositae,Lactuca,indica,a,forb,Lac,non_clonal,H60D15,2,3.92,33.65,37.57,3.543378496,0.369711038,0.104338568,0.116493314,109,5,465,26.92,6.73
2,Compositae,Lactuca,indica,a,forb,Lac,non_clonal,H60D15,3,1.59,16.9,18.49,1.743866606,0.149959324,0.085992428,0.09408284,41,1,180,16.9,
2,Compositae,Lactuca,indica,a,forb,Lac,non_clonal,H60D15,4,8.15,43.95,52.1,4.913761502,0.768659427,0.156429942,0.185437998,52,1,168.5,39.71,4.24
2,Compositae,Lactuca,indica,a,forb,Lac,non_clonal,H60D15,5,2.87,22.05,24.92,2.350305886,0.270681295,0.115168539,0.13015873,30,1,176,16.54,5.51
2,Compositae,Lactuca,indica,a,forb,Lac,non_clonal,H60D15,6,2.26,13.16,15.42,1.454322502,0.213149731,0.146562905,0.171732523,18,1,118,9.88,3.28
2,Compositae,Lactuca,indica,b,forb,Lac,non_clonal,H15D30,1,3.35,37.94,41.29,3.894226726,0.315952034,0.081133446,0.088297312,66,1,116,37.94,
2,Compositae,Lactuca,indica,b,forb,Lac,non_clonal,H15D30,2,4.24,29.83,34.07,3.213279355,0.39989153,0.124449662,0.142138786,54,2,70,29.83,
2,Compositae,Lactuca,indica,b,forb,Lac,non_clonal,H15D30,3,2.25,28.18,30.43,2.869976248,0.212206592,0.073940191,0.079843861,86,5,354,26.32,1.86
2,Compositae,Lactuca,indica,b,forb,Lac,non_clonal,H15D30,4,1.04,15.96,17,1.603338686,0.098086603,0.061176471,0.065162907,26,1,184,13.92,2.04
2,Compositae,Lactuca,indica,b,forb,Lac,non_clonal,H15D30,5,1.93,25.87,27.8,2.621930322,0.182026097,0.06942446,0.074603788,67,1,175,22.05,3.82
2,Compositae,Lactuca,indica,b,forb,Lac,non_clonal,H15D30,6,0.79,15.42,16.21,1.528830594,0.074508093,0.048735349,0.051232166,19,1,122,9.71,5.71
2,Compositae,Lactuca,indica,c,forb,Lac,non_clonal,H15D15,1,2.81,16.78,19.59,7.390448202,1.060089814,0.143440531,0.167461263,26,1,174.5,14.02,2.76
2,Compositae,Lactuca,indica,c,forb,Lac,non_clonal,H15D15,2,4.08,12.75,16.83,6.349221196,1.539205136,0.242424242,0.32,23,1,146,11.1,1.65
2,Compositae,Lactuca,indica,c,forb,Lac,non_clonal,H15D15,3,1.6,12.39,13.99,5.277813698,0.603609857,0.114367405,0.1291364,32,1,168,10.4,1.99
2,Compositae,Lactuca,indica,c,forb,Lac,non_clonal,H15D15,4,0.46,7.77,8.23,3.104818208,0.173537834,0.055893074,0.059202059,24,1,139,5.46,2.31
2,Compositae,Lactuca,indica,c,forb,Lac,non_clonal,H15D15,5,,,,,,,,,,,,
2,Compositae,Lactuca,indica,c,forb,Lac,non_clonal,H15D15,6,2.64,9.41,12.05,4.545936745,0.995956266,0.219087137,0.280552604,40,1,77,9.41,
3,Oxalidaceae,Oxalis,corniculata,a,forb,Oxa,clonal,H60D15,1,0.31,0.68,0.99,0.0933709,0.029237353,0.313131313,0.455882353,15,,,0.68,
3,Oxalidaceae,Oxalis,corniculata,a,forb,Oxa,clonal,H60D15,2,0.4,1.47,1.87,0.176367255,0.037725616,0.213903743,0.272108844,34,,,1.47,
3,Oxalidaceae,Oxalis,corniculata,a,forb,Oxa,clonal,H60D15,3,0.22,0.57,0.79,0.074508092,0.020749089,0.278481013,0.385964912,16,,,0.57,
3,Oxalidaceae,Oxalis,corniculata,a,forb,Oxa,clonal,H60D15,4,6.19,0.23,6.42,0.605496139,0.58380391,0.964174455,26.91304348,6,,,0.23,
3,Oxalidaceae,Oxalis,corniculata,a,forb,Oxa,clonal,H60D15,5,2.99,0.53,3.52,0.331985422,0.281998981,0.849431818,5.641509434,8,,,0.53,
3,Oxalidaceae,Oxalis,corniculata,a,forb,Oxa,clonal,H60D15,6,2.33,0.99,3.32,0.313122614,0.219751714,0.701807229,2.353535354,17,,,0.99,
3,Oxalidaceae,Oxalis,corniculata,b,forb,Oxa,clonal,H15D30,1,0.63,1.81,2.44,0.230126258,0.059417845,0.258196721,0.348066298,22,,,1.81,
3,Oxalidaceae,Oxalis,corniculata,b,forb,Oxa,clonal,H15D30,2,0.2,2.1,2.3,0.216922293,0.018862808,0.086956522,0.095238095,46,,,2.1,
3,Oxalidaceae,Oxalis,corniculata,b,forb,Oxa,clonal,H15D30,3,0.4,3.12,3.52,0.331985422,0.037725616,0.113636364,0.128205128,45,,,3.12,
3,Oxalidaceae,Oxalis,corniculata,b,forb,Oxa,clonal,H15D30,4,6.8,3.2,10,0.943140404,0.641335475,0.68,2.125,49,,,3.2,
3,Oxalidaceae,Oxalis,corniculata,b,forb,Oxa,clonal,H15D30,5,5.5,0.38,5.88,0.554566557,0.518727222,0.93537415,14.47368421,7,,,0.38,
3,Oxalidaceae,Oxalis,corniculata,b,forb,Oxa,clonal,H15D30,6,,,,,,,,,,,,
3,Oxalidaceae,Oxalis,corniculata,c,forb,Oxa,clonal,H15D15,1,0.13,0.44,0.57,0.215036012,0.049043301,0.228070175,0.295454545,11,,,0.44,
3,Oxalidaceae,Oxalis,corniculata,c,forb,Oxa,clonal,H15D15,2,0.61,0.61,1.22,0.460252517,0.230126259,0.5,1,8,,,0.61,
3,Oxalidaceae,Oxalis,corniculata,c,forb,Oxa,clonal,H15D15,3,0.13,0.91,1.04,0.392346408,0.049043301,0.125,0.142857143,15,,,0.91,
3,Oxalidaceae,Oxalis,corniculata,c,forb,Oxa,clonal,H15D15,4,3.5,0.65,4.15,1.56561307,1.320396565,0.843373494,5.384615385,11,,,0.65,
3,Oxalidaceae,Oxalis,corniculata,c,forb,Oxa,clonal,H15D15,5,2.24,0.12,2.36,0.890324541,0.845053801,0.949152542,18.66666667,5,,,0.12,
3,Oxalidaceae,Oxalis,corniculata,c,forb,Oxa,clonal,H15D15,6,6.75,0.37,7.12,2.686063869,2.54647909,0.948033708,18.24324324,7,,,0.37,
4,Plantaginaceae,Plantago,asiatica,a,forb,Pla,non_clonal,H60D15,1,0.11,4.24,4.35,0.410266076,0.010374544,0.025287356,0.025943396,7,,,1.97,
4,Plantaginaceae,Plantago,asiatica,a,forb,Pla,non_clonal,H60D15,2,0.39,7.4,7.79,0.734706374,0.036782476,0.050064185,0.052702703,8,,,4.21,
4,Plantaginaceae,Plantago,asiatica,a,forb,Pla,non_clonal,H60D15,3,0.15,4.27,4.42,0.416868058,0.014147106,0.033936652,0.035128806,8,,,2.42,
4,Plantaginaceae,Plantago,asiatica,a,forb,Pla,non_clonal,H60D15,4,0.36,8.62,8.98,0.846940082,0.033953055,0.040089087,0.041763341,10,,,3.58,
4,Plantaginaceae,Plantago,asiatica,a,forb,Pla,non_clonal,H60D15,5,0.16,7.58,7.74,0.729990672,0.015090247,0.020671835,0.021108179,10,,,3.83,
4,Plantaginaceae,Plantago,asiatica,a,forb,Pla,non_clonal,H60D15,6,0.2,3.06,3.26,0.307463772,0.018862808,0.061349693,0.065359477,5,,,1.67,
4,Plantaginaceae,Plantago,asiatica,b,forb,Pla,non_clonal,H15D30,1,0.12,2.6,2.72,0.25653419,0.011317685,0.044117647,0.046153846,7,,,1.58,
4,Plantaginaceae,Plantago,asiatica,b,forb,Pla,non_clonal,H15D30,2,0.1,2.31,2.41,0.227296837,0.009431404,0.041493776,0.043290043,6,,,1.06,
4,Plantaginaceae,Plantago,asiatica,b,forb,Pla,non_clonal,H15D30,3,0.11,4.65,4.76,0.448934832,0.010374545,0.023109244,0.023655914,9,,,2.42,
4,Plantaginaceae,Plantago,asiatica,b,forb,Pla,non_clonal,H15D30,4,0.19,6.8,6.99,0.659255142,0.017919668,0.027181688,0.027941176,10,,,4.05,
4,Plantaginaceae,Plantago,asiatica,b,forb,Pla,non_clonal,H15D30,5,0.42,10.84,11.26,1.061976094,0.039611897,0.037300178,0.038745387,9,,,5.48,
4,Plantaginaceae,Plantago,asiatica,b,forb,Pla,non_clonal,H15D30,6,0.26,7.42,7.68,0.72433183,0.024521651,0.033854167,0.035040431,9,,,3.9,
4,Plantaginaceae,Plantago,asiatica,c,forb,Pla,non_clonal,H15D15,1,0.3,4.86,5.16,1.946641793,0.113176849,0.058139535,0.061728395,5,,,2.65,
4,Plantaginaceae,Plantago,asiatica,c,forb,Pla,non_clonal,H15D15,2,0.02,1.92,1.94,0.731876953,0.007545123,0.010309278,0.010416667,6,,,1.54,
4,Plantaginaceae,Plantago,asiatica,c,forb,Pla,non_clonal,H15D15,3,0.34,4.4,4.74,1.788194205,0.128267095,0.071729958,0.077272727,10,,,3.01,
4,Plantaginaceae,Plantago,asiatica,c,forb,Pla,non_clonal,H15D15,4,0.3,4.1,4.4,1.65992711,0.113176848,0.068181818,0.073170732,5,,,2.23,
4,Plantaginaceae,Plantago,asiatica,c,forb,Pla,non_clonal,H15D15,5,0.18,7.56,7.74,2.919962689,0.067906109,0.023255814,0.023809524,10,,,4.77,
4,Plantaginaceae,Plantago,asiatica,c,forb,Pla,non_clonal,H15D15,6,0.39,5.46,5.85,2.206948544,0.147129904,0.066666667,0.071428571,9,,,2.5,
5,Compositae,Silphium,perfoliatum,a,forb,Sil,clonal,H60D15,1,9.23,9.2,18.43,1.738207764,0.870518592,0.50081389,1.00326087,8,,,9.2,
5,Compositae,Silphium,perfoliatum,a,forb,Sil,clonal,H60D15,2,6.41,4.91,11.32,1.067634937,0.604552999,0.566254417,1.305498982,9,,,4.91,
5,Compositae,Silphium,perfoliatum,a,forb,Sil,clonal,H60D15,3,10.59,8.29,18.88,1.780649082,0.998785688,0.560911017,1.277442702,8,,,8.29,
5,Compositae,Silphium,perfoliatum,a,forb,Sil,clonal,H60D15,4,5.18,4.72,9.9,0.933708999,0.488546729,0.523232323,1.097457627,8,,,4.72,
5,Compositae,Silphium,perfoliatum,a,forb,Sil,clonal,H60D15,5,3.99,2.99,6.98,0.658312002,0.376313021,0.571633238,1.334448161,10,,,2.99,
5,Compositae,Silphium,perfoliatum,a,forb,Sil,clonal,H60D15,6,4.64,3.37,8.01,0.755455463,0.437617147,0.579275905,1.376854599,8,,,3.37,
5,Compositae,Silphium,perfoliatum,b,forb,Sil,clonal,H15D30,1,2.71,5.45,8.16,0.769602569,0.255591049,0.332107843,0.497247706,8,,,5.45,
5,Compositae,Silphium,perfoliatum,b,forb,Sil,clonal,H15D30,2,4.73,7.92,12.65,1.19307261,0.44610541,0.373913043,0.597222222,18,,,7.92,
5,Compositae,Silphium,perfoliatum,b,forb,Sil,clonal,H15D30,3,4.26,4.91,9.17,0.86485975,0.401777812,0.464558342,0.867617108,7,,,4.91,
5,Compositae,Silphium,perfoliatum,b,forb,Sil,clonal,H15D30,4,2.7,4.15,6.85,0.646051176,0.254647909,0.394160584,0.65060241,8,,,4.15,
5,Compositae,Silphium,perfoliatum,b,forb,Sil,clonal,H15D30,5,4.69,5.02,9.71,0.915789332,0.442332849,0.483007209,0.934262948,9,,,5.02,
5,Compositae,Silphium,perfoliatum,b,forb,Sil,clonal,H15D30,6,4.66,5.01,9.67,0.91201677,0.439503428,0.481902792,0.930139721,8,,,5.01,
5,Compositae,Silphium,perfoliatum,c,forb,Sil,clonal,H15D15,1,3.59,5.03,8.62,3.251948111,1.35434962,0.416473318,0.713717694,9,,,5.03,
5,Compositae,Silphium,perfoliatum,c,forb,Sil,clonal,H15D15,2,2.62,2.55,5.17,1.950414354,0.988411143,0.506769826,1.02745098,7,,,2.55,
5,Compositae,Silphium,perfoliatum,c,forb,Sil,clonal,H15D15,3,3.54,3.71,7.25,2.73510717,1.335486811,0.488275862,0.954177898,5,,,3.71,
5,Compositae,Silphium,perfoliatum,c,forb,Sil,clonal,H15D15,4,,,,,,,,,,,,
5,Compositae,Silphium,perfoliatum,c,forb,Sil,clonal,H15D15,5,1.74,2.53,4.27,1.610883809,0.65642572,0.407494145,0.687747036,9,,,2.53,
5,Compositae,Silphium,perfoliatum,c,forb,Sil,clonal,H15D15,6,2.26,2.56,4.82,1.818374698,0.852598925,0.468879668,0.8828125,7,,,2.56,
6,Compositae,Taraxacum,mongolicum,a,forb,Tar,non_clonal,H60D15,1,0.62,1.11,1.73,0.16316329,0.058474705,0.358381503,0.558558559,12,,,1.11,
6,Compositae,Taraxacum,mongolicum,a,forb,Tar,non_clonal,H60D15,2,1.54,1.01,2.55,0.240500803,0.145243622,0.603921569,1.524752475,16,,,1.01,
6,Compositae,Taraxacum,mongolicum,a,forb,Tar,non_clonal,H60D15,3,2.44,2.7,5.14,0.484774167,0.230126258,0.474708171,0.903703704,13,,,2.7,
6,Compositae,Taraxacum,mongolicum,a,forb,Tar,non_clonal,H60D15,4,,,,,,,,,,,,
6,Compositae,Taraxacum,mongolicum,a,forb,Tar,non_clonal,H60D15,5,1.08,1.19,2.27,0.214092872,0.101859164,0.475770925,0.907563025,10,,,1.19,
6,Compositae,Taraxacum,mongolicum,a,forb,Tar,non_clonal,H60D15,6,0.31,0.96,1.27,0.119778831,0.029237352,0.244094488,0.322916667,10,,,0.96,
6,Compositae,Taraxacum,mongolicum,b,forb,Tar,non_clonal,H15D30,1,,,,,,,,,,,,
6,Compositae,Taraxacum,mongolicum,b,forb,Tar,non_clonal,H15D30,2,,,,,,,,,,,,
6,Compositae,Taraxacum,mongolicum,b,forb,Tar,non_clonal,H15D30,3,0.24,0.83,1.07,0.100916023,0.02263537,0.224299065,0.289156627,9,,,0.83,
6,Compositae,Taraxacum,mongolicum,b,forb,Tar,non_clonal,H15D30,4,0.2,0.61,0.81,0.076394373,0.018862808,0.24691358,0.327868852,7,,,0.61,
6,Compositae,Taraxacum,mongolicum,b,forb,Tar,non_clonal,H15D30,5,0.58,1.34,1.92,0.181082957,0.054702143,0.302083333,0.432835821,13,,,1.34,
6,Compositae,Taraxacum,mongolicum,b,forb,Tar,non_clonal,H15D30,6,,,,,,,,,,,,
6,Compositae,Taraxacum,mongolicum,c,forb,Tar,non_clonal,H15D15,1,0.98,1.46,2.44,0.920505034,0.369711038,0.401639344,0.671232877,14,,,1.46,
6,Compositae,Taraxacum,mongolicum,c,forb,Tar,non_clonal,H15D15,2,,,,,,,,,,,,
6,Compositae,Taraxacum,mongolicum,c,forb,Tar,non_clonal,H15D15,3,0.7,0.97,1.67,0.63001779,0.264079313,0.419161677,0.721649485,11,,,0.97,
6,Compositae,Taraxacum,mongolicum,c,forb,Tar,non_clonal,H15D15,4,0.72,1.14,1.86,0.70169646,0.271624436,0.387096774,0.631578947,12,,,1.14,
6,Compositae,Taraxacum,mongolicum,c,forb,Tar,non_clonal,H15D15,5,,,,,,,,,,,,
6,Compositae,Taraxacum,mongolicum,c,forb,Tar,non_clonal,H15D15,6,,,,,,,,,,,,
7,Gramineae,Bromus,inermis,a,grass,Bro,clonal,H60D15,1,22.23,14.13,36.36,3.429258507,2.096601118,0.611386139,1.573248408,223,46,701.5,14.13,
7,Gramineae,Bromus,inermis,a,grass,Bro,clonal,H60D15,2,8.94,7.97,16.91,1.594850422,0.843167521,0.528681254,1.121706399,183,42,455.5384615,7.97,
7,Gramineae,Bromus,inermis,a,grass,Bro,clonal,H60D15,3,7.16,13.84,21,1.980594847,0.675288529,0.340952381,0.51734104,228,51,892.5,13.84,
7,Gramineae,Bromus,inermis,a,grass,Bro,clonal,H60D15,4,12.33,15.07,27.4,2.584204706,1.162892118,0.45,0.818181818,208,43,722.0416667,15.07,
7,Gramineae,Bromus,inermis,a,grass,Bro,clonal,H60D15,5,8.39,10.02,18.41,1.736321483,0.791294798,0.455730581,0.837325349,203,51,584.6785714,10.02,
7,Gramineae,Bromus,inermis,a,grass,Bro,clonal,H60D15,6,,,,,,,,,,,,
7,Gramineae,Bromus,inermis,b,grass,Bro,clonal,H15D30,1,0.24,13.13,13.37,1.260978719,0.02263537,0.017950636,0.018278751,191,46,683.6111111,13.13,
